Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
fortuner,2017,33,36.2,6000,Diesel,Dealer,Automatic,0
etios liva,2014,4.75,7.0,45000,Diesel,Dealer,Manual,0
innova,2017,19.75,23.2,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,20.5,59000,Diesel,Dealer,Manual,0
corolla altis,2011,4.35,13.7,88000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,20.9,12000,Petrol,Dealer,Manual,0
etios liva,2014,3.95,6.8,71000,Diesel,Dealer,Manual,0
corolla altis,2011,4.5,12.5,45000,Diesel,Dealer,Manual,0
corolla altis,2013,7.45,18.6,56001,Petrol,Dealer,Manual,0
etios liva,2011,2.65,5.7,43000,Petrol,Dealer,Manual,0
etios cross,2014,4.9,8.9,83000,Diesel,Dealer,Manual,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0
corolla altis,2013,5.5,14.7,72000,Petrol,Dealer,Manual,0
corolla,2004,1.5,12.4,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,5.25,22.8,80000,Petrol,Dealer,Automatic,0
fortuner,2012,14.5,30.6,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,14.73,14.9,23000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,7.9,40000,Diesel,Dealer,Manual,0
innova,2017,23,25.4,15000,Diesel,Dealer,Automatic,0
innova,2015,12.5,13.5,38000,Diesel,Dealer,Manual,0
innova,2005,3.49,13.5,197176,Diesel,Dealer,Manual,0
camry,2006,2.5,23.7,142000,Petrol,Individual,Automatic,2
land cruiser,2010,35,92.6,78000,Diesel,Dealer,Manual,0
corolla altis,2012,5.9,13.7,56000,Petrol,Dealer,Manual,0
etios liva,2013,3.45,6.1,47000,Petrol,Dealer,Manual,0
etios g,2014,4.75,6.8,40000,Petrol,Dealer,Manual,0
corolla altis,2009,3.8,18.6,62000,Petrol,Dealer,Manual,0
innova,2014,11.25,16.1,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
fortuner,2015,23,30.6,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4,22.8,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,5.85,18.6,72000,Petrol,Dealer,Manual,0
innova,2016,20.75,25.4,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,17,18.6,8700,Petrol,Dealer,Manual,0
corolla altis,2013,7.05,18.6,45000,Petrol,Dealer,Manual,0
fortuner,2010,9.65,20.5,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,1.7,1.8,1400,Petrol,Individual,Manual,0
KTM RC200,2017,1.65,1.8,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.35,1.5,4100,Petrol,Individual,Manual,0
KTM RC390,2015,1.35,2.4,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,1.35,3.5,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1.2,1.5,11000,Petrol,Individual,Manual,0
KTM RC200,2016,1.2,1.8,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0
KTM 390 Duke,2014,1.15,2.4,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.15,1.5,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.11,1.5,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1.1,1.5,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1.1,1.5,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,1.05,1.3,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,1.05,1.2,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1,1.5,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,0.95,1.8,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,0.9,1.8,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.9,1.0,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.8,0.9,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,0.78,0.8,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,0.75,0.9,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,0.75,0.8,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,0.75,1.0,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,0.72,1.0,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,0.65,0.8,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,0.65,0.7,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,0.65,0.8,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,0.6,0.9,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,0.6,1.0,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,0.6,0.8,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,0.6,0.8,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,0.6,1.0,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,0.6,0.8,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,0.55,0.8,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.55,0.8,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,0.52,0.9,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,0.51,0.9,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,0.5,0.8,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,0.5,0.6,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.5,1.0,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,0.5,1.0,45000,Petrol,Individual,Manual,0
Yamaha Fazer,2014,0.5,0.9,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.48,0.5,4300,Petrol,Individual,Automatic,0
TVS Sport,2017,0.48,0.5,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,0.48,0.8,23000,Petrol,Individual,Manual,0
Honda Dream Yuga,2017,0.48,0.5,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,0.45,0.5,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,0.45,1.0,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,0.45,0.8,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,0.45,1.0,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,0.45,1.0,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,0.45,0.5,14000,Petrol,Individual,Manual,0
Activa 3g,2016,0.45,0.5,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,0.45,0.6,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,0.42,0.8,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,0.42,0.7,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,0.4,0.5,14000,Petrol,Individual,Manual,0
Yamaha FZ S,2012,0.4,0.8,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,0.4,0.6,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,0.4,0.6,13700,Petrol,Individual,Manual,0
Activa 4g,2017,0.4,0.5,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,0.38,0.7,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,0.38,0.8,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,0.35,1.1,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,0.35,0.6,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,0.35,0.5,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,0.31,1.1,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,0.3,0.5,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,0.3,0.5,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,0.3,0.6,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,0.27,0.5,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.25,0.8,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,0.25,0.6,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,0.25,0.5,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,0.25,0.5,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,0.25,0.6,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,0.2,0.6,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.2,0.8,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,0.2,0.6,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,0.2,0.8,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,0.2,0.7,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,0.2,0.8,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,0.18,0.3,35000,Petrol,Individual,Manual,0
Activa 3g,2008,0.17,0.5,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,0.16,0.5,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,0.15,0.6,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,0.12,0.6,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,0.1,0.8,92233,Petrol,Individual,Manual,0
i20,2010,3.25,6.8,58000,Diesel,Dealer,Manual,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0
eon,2015,2.75,4.4,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1
xcent,2017,5.75,7.1,12479,Petrol,Dealer,Manual,0
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0
elantra,2015,11.75,14.8,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0
i20,2011,2.9,6.8,31604,Petrol,Dealer,Manual,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0
eon,2016,2.9,4.4,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,4.4,15000,Petrol,Dealer,Manual,0
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0
eon,2017,3.5,4.4,38488,Petrol,Dealer,Manual,0
i20,2013,4.5,6.8,32000,Petrol,Dealer,Automatic,0
i20,2014,6,7.6,77632,Diesel,Dealer,Manual,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0
i10,2011,2.55,4.4,57000,Petrol,Dealer,Manual,0
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0
i20,2012,3.1,6.8,52132,Diesel,Dealer,Manual,0
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,14.8,12900,Petrol,Dealer,Automatic,0
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
eon,2016,3.1,4.4,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0
eon,2012,2,4.4,23709,Petrol,Dealer,Manual,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
xcent,2015,4.75,7.1,35866,Petrol,Dealer,Manual,1
xcent,2014,4.4,7.1,34000,Petrol,Dealer,Manual,0
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0
i20,2012,3.75,6.8,35000,Petrol,Dealer,Manual,0
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
i10,2013,4,4.6,30000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
city,2013,5,9.9,56701,Petrol,Dealer,Manual,0
brio,2015,5.4,6.8,31427,Petrol,Dealer,Automatic,0
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0
brio,2012,3,5.4,53675,Petrol,Dealer,Manual,0
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0
brio,2016,5.5,6.0,5600,Petrol,Dealer,Manual,0
amaze,2015,4,5.8,40023,Petrol,Dealer,Manual,0
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0
amaze,2015,4,7.0,40026,Petrol,Dealer,Manual,0
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0
city,2009,3,10.0,69562,Petrol,Dealer,Manual,0
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0
jazz,2016,6,8.4,4000,Petrol,Dealer,Manual,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0
city,2015,8.55,13.1,60076,Diesel,Dealer,Manual,0
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0
brio,2015,4,5.9,60000,Petrol,Dealer,Manual,0
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0
Maruti Wagon R LXI CNG,2010,1.75,6.4,72000,CNG,Dealer,Manual,0
Hyundai Creta 1.6 CRDi SX Option,2015,12.5,13.7,41000,Diesel,Dealer,Manual,0
Honda Jazz V,2011,4.5,8.6,46000,Petrol,Dealer,Manual,0
Maruti Ertiga VDI,2012,6,9.9,87000,Diesel,Dealer,Manual,0
Audi A4 New 2.0 TDI Multitronic,2013,17.74,31.8,40670,Diesel,Dealer,Automatic,1
Hyundai EON CNG Era Plus Option,2012,2.35,4.4,75000,CNG,Dealer,Manual,0
Nissan Micra Diesel XV,2013,3.5,8.1,86999,Diesel,Dealer,Manual,0
Toyota Innova Crysta 2.8 GX AT 8S,2016,17.5,21.0,36000,Diesel,Dealer,Automatic,0
Volkswagen Vento Diesel Comfortline,2013,5.2,10.0,64430,Diesel,Dealer,Manual,0
Tata Indica Vista Quadrajet LS,2012,1.95,5.3,65932,Diesel,Dealer,Manual,1
Maruti Ciaz Zeta,2018,9.95,10.7,25692,Petrol,Dealer,Manual,0
Honda City 1.5 V AT Sunroof,2012,4.49,11.2,60000,Petrol,Dealer,Automatic,0
Maruti Swift VDI BSIV,2015,5.6,7.4,64424,Diesel,Dealer,Manual,0
Land Rover Range Rover 2.2L Pure,2014,27,58.3,72000,Diesel,Dealer,Automatic,0
Land Rover Freelander 2 TD4 SE,2012,17.5,36.5,85000,Diesel,Dealer,Automatic,1
Mitsubishi Pajero Sport 4X4,2014,15,32.0,110000,Diesel,Dealer,Manual,0
Honda Amaze S i-Dtech,2016,5.4,7.8,58950,Diesel,Dealer,Manual,0
Maruti Swift DDiS VDI,2017,5.99,7.2,25000,Diesel,Dealer,Manual,0
Renault Duster 85PS Diesel RxL Plus,2014,6.34,12.9,77469,Diesel,Dealer,Manual,0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,28,43.1,78500,Diesel,Dealer,Automatic,0
BMW 3 Series 320d,2014,18.55,47.9,32982,Diesel,Dealer,Automatic,0
Maruti S Cross DDiS 200 Alpha,2015,8.25,13.6,55392,Diesel,Dealer,Manual,1
Audi A6 2011-2015 35 TFSI Technology,2015,23.5,51.0,55985,Petrol,Dealer,Automatic,0
Hyundai i20 1.2 Magna,2010,1.87,7.1,45807,Petrol,Dealer,Manual,0
Volkswagen Vento Petrol Highline AT,2010,2.85,14.4,33000,Petrol,Dealer,Automatic,0
Honda City Corporate Edition,2012,4.25,15.5,51920,Petrol,Dealer,Manual,0
Nissan Micra Diesel XV,2012,4.25,8.1,54000,Diesel,Dealer,Manual,0
Maruti Alto K10 2010-2014 VXI,2013,2.75,3.4,54000,Petrol,Dealer,Manual,1
Honda WRV i-VTEC VX,2018,9.9,10.6,37430,Petrol,Dealer,Manual,0
Toyota Innova 2.5 V Diesel 7-seater,2007,4,9.6,262000,Diesel,Dealer,Manual,3
Renault Duster 110PS Diesel RxZ Pack,2013,7.75,12.1,62000,Diesel,Dealer,Manual,0
Toyota Corolla Altis G,2012,6.75,17.7,87615,Petrol,Dealer,Manual,0
Mahindra Ssangyong Rexton RX7,2013,12.5,25.2,72000,Diesel,Dealer,Automatic,1
Audi A6 2.7 TDI,2010,11.5,38.7,35000,Diesel,Dealer,Automatic,0
Volkswagen Vento 1.6 Highline,2014,6.98,12.3,55431,Petrol,Dealer,Manual,1
Maruti Wagon R LXI BSIII,2009,1.85,3.4,83816,Petrol,Dealer,Manual,1
Maruti Vitara Brezza ZDi Plus,2018,8.63,11.1,50075,Diesel,Dealer,Manual,0
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,4.85,6.6,52000,Petrol,Dealer,Manual,0
Mercedes-Benz M-Class ML 350 CDI,2013,28,67.0,85000,Diesel,Dealer,Automatic,0
Volkswagen Polo Diesel Trendline 1.2L,2013,5,5.5,62000,Diesel,Dealer,Manual,0
Maruti Alto LXi,2008,1.25,5.5,90000,Petrol,Dealer,Manual,1
Tata Nano LX SE,2014,1.53,2.1,19698,Petrol,Dealer,Manual,0
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,5.58,8.1,22033,Diesel,Dealer,Manual,0
Hyundai i20 Magna Optional 1.2,2014,4.74,7.1,35487,Petrol,Dealer,Manual,0
Hyundai Elantra 2.0 SX Option AT,2014,8.85,23.6,46374,Petrol,Dealer,Automatic,0
Toyota Corolla Altis G AT,2016,10.11,17.7,52001,Petrol,Dealer,Automatic,0
Hyundai Elantra CRDi,2008,4.25,18.9,58005,Diesel,Dealer,Manual,1
Toyota Innova Crysta 2.7 GX MT,2012,10.95,18.6,70704,Petrol,Dealer,Manual,0
Hyundai Xcent 1.1 CRDi S,2014,3.85,8.1,75000,Diesel,Dealer,Manual,0
Mahindra Thar CRDe AC,2012,5.5,9.6,75800,Diesel,Dealer,Manual,1
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,21.43,36.9,13648,Diesel,Dealer,Automatic,0
Maruti Swift LDI,2014,4.25,6.0,52000,Diesel,Dealer,Manual,0
Maruti Swift Ldi BSIV,2014,3.3,6.0,53000,Diesel,Dealer,Manual,0
Maruti Swift VDI,2013,3.85,6.9,65650,Diesel,Dealer,Manual,0
Hyundai Grand i10 Sportz,2015,3.6,6.6,54000,Petrol,Dealer,Manual,2
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,3.99,9.9,39000,Petrol,Dealer,Manual,0
Renault KWID RXT,2017,3.3,4.6,16542,Petrol,Dealer,Manual,0
Hyundai i10 Asta,2010,2.07,8.5,32000,Petrol,Dealer,Manual,0
Nissan X-Trail SLX AT,2010,7.75,24.9,121812,Diesel,Dealer,Automatic,0
Maruti Zen Estilo VXI BSIII,2010,2.25,3.8,39300,Petrol,Dealer,Manual,0
Toyota Innova Crysta 2.4 GX MT 8S,2017,16.5,19.3,22000,Diesel,Dealer,Manual,0
Ford Figo Diesel Titanium,2010,2.75,6.2,72000,Diesel,Dealer,Manual,0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,26.7,47.3,58000,Petrol,Dealer,Automatic,0
